Date_ID,Date,Day,Month,Month_Name,Quarter,Year,Week_Number,Day_of_Week,Is_Weekend
20210101,2021-01-01,1,1,January,1,2021,53,Friday,False
20210102,2021-01-02,2,1,January,1,2021,53,Saturday,True
20210103,2021-01-03,3,1,January,1,2021,53,Sunday,True
20210104,2021-01-04,4,1,January,1,2021,1,Monday,False
20210105,2021-01-05,5,1,January,1,2021,1,Tuesday,False
20210106,2021-01-06,6,1,January,1,2021,1,Wednesday,False
20210107,2021-01-07,7,1,January,1,2021,1,Thursday,False
20210108,2021-01-08,8,1,January,1,2021,1,Friday,False
20210109,2021-01-09,9,1,January,1,2021,1,Saturday,True
20210110,2021-01-10,10,1,January,1,2021,1,Sunday,True
20210111,2021-01-11,11,1,January,1,2021,2,Monday,False
20210112,2021-01-12,12,1,January,1,2021,2,Tuesday,False
20210113,2021-01-13,13,1,January,1,2021,2,Wednesday,False
20210114,2021-01-14,14,1,January,1,2021,2,Thursday,False
20210115,2021-01-15,15,1,January,1,2021,2,Friday,False
20210116,2021-01-16,16,1,January,1,2021,2,Saturday,True
20210117,2021-01-17,17,1,January,1,2021,2,Sunday,True
20210118,2021-01-18,18,1,January,1,2021,3,Monday,False
20210119,2021-01-19,19,1,January,1,2021,3,Tuesday,False
20210120,2021-01-20,20,1,January,1,2021,3,Wednesday,False
20210121,2021-01-21,21,1,January,1,2021,3,Thursday,False
20210122,2021-01-22,22,1,January,1,2021,3,Friday,False
20210123,2021-01-23,23,1,January,1,2021,3,Saturday,True
20210124,2021-01-24,24,1,January,1,2021,3,Sunday,True
20210125,2021-01-25,25,1,January,1,2021,4,Monday,False
20210126,2021-01-26,26,1,January,1,2021,4,Tuesday,False
20210127,2021-01-27,27,1,January,1,2021,4,Wednesday,False
20210128,2021-01-28,28,1,January,1,2021,4,Thursday,False
20210129,2021-01-29,29,1,January,1,2021,4,Friday,False
20210130,2021-01-30,30,1,January,1,2021,4,Saturday,True
20210131,2021-01-31,31,1,January,1,2021,4,Sunday,True
20210201,2021-02-01,1,2,February,1,2021,5,Monday,False
20210202,2021-02-02,2,2,February,1,2021,5,Tuesday,False
20210203,2021-02-03,3,2,February,1,2021,5,Wednesday,False
20210204,2021-02-04,4,2,February,1,2021,5,Thursday,False
20210205,2021-02-05,5,2,February,1,2021,5,Friday,False
20210206,2021-02-06,6,2,February,1,2021,5,Saturday,True
20210207,2021-02-07,7,2,February,1,2021,5,Sunday,True
20210208,2021-02-08,8,2,February,1,2021,6,Monday,False
20210209,2021-02-09,9,2,February,1,2021,6,Tuesday,False
20210210,2021-02-10,10,2,February,1,2021,6,Wednesday,False
20210211,2021-02-11,11,2,February,1,2021,6,Thursday,False
20210212,2021-02-12,12,2,February,1,2021,6,Friday,False
20210213,2021-02-13,13,2,February,1,2021,6,Saturday,True
20210214,2021-02-14,14,2,February,1,2021,6,Sunday,True
20210215,2021-02-15,15,2,February,1,2021,7,Monday,False
20210216,2021-02-16,16,2,February,1,2021,7,Tuesday,False
20210217,2021-02-17,17,2,February,1,2021,7,Wednesday,False
20210218,2021-02-18,18,2,February,1,2021,7,Thursday,False
