Employee_ID,Department_ID,Role,Experience_Level,Salary_Band,Performance_Rating
1,7,Engineer,Junior,High,5
2,1,Analyst,Mid,Medium,3
3,7,Engineer,Junior,Low,2
4,9,Executive,Junior,Low,2
5,7,Executive,Junior,Low,4
6,9,Analyst,Junior,Medium,1
7,15,Manager,Mid,Low,1
8,13,Engineer,Mid,Low,5
9,10,Manager,Mid,Medium,3
10,2,Engineer,Junior,Low,3
11,6,Analyst,Junior,High,3
12,15,Analyst,Senior,Medium,4
13,1,Manager,Mid,Medium,2
14,10,Analyst,Senior,Low,1
15,13,Executive,Senior,High,3
16,6,Engineer,Mid,Medium,2
17,12,Analyst,Senior,Medium,1
18,6,Manager,Mid,High,4
19,1,Executive,Junior,Medium,5
20,9,Manager,Senior,High,1
21,12,Analyst,Mid,Low,1
22,5,Executive,Mid,Medium,3
23,13,Executive,Senior,High,4
24,11,Engineer,Senior,High,2
25,2,Engineer,Senior,High,3
26,4,Executive,Mid,Low,1
27,15,Manager,Mid,High,4
28,5,Executive,Junior,Medium,5
29,6,Manager,Junior,Low,2
30,4,Analyst,Junior,High,3
31,3,Executive,Junior,Medium,3
32,4,Engineer,Junior,Medium,5
33,5,Executive,Mid,High,4
34,13,Analyst,Mid,Low,4
35,4,Executive,Mid,Low,5
36,4,Analyst,Mid,High,2
37,3,Engineer,Mid,High,3
38,13,Analyst,Senior,High,3
39,4,Executive,Mid,Medium,2
40,1,Manager,Junior,High,2
41,4,Manager,Junior,Low,5
42,14,Executive,Mid,Medium,2
43,8,Engineer,Junior,High,2
44,14,Engineer,Senior,Medium,5
45,4,Manager,Mid,Medium,3
46,12,Manager,Junior,Medium,1
47,5,Analyst,Junior,Low,2
48,7,Manager,Mid,Low,4
49,15,Executive,Senior,Medium,2
50,6,Engineer,Senior,Low,5
51,6,Manager,Mid,Low,5
52,14,Analyst,Mid,Medium,3
53,12,Manager,Mid,High,5
54,11,Manager,Mid,Medium,2
55,15,Manager,Mid,High,3
56,8,Analyst,Senior,Low,4
57,2,Analyst,Mid,Low,4
58,12,Manager,Junior,High,4
59,2,Analyst,Mid,Medium,2
60,2,Engineer,Junior,Low,5
61,2,Analyst,Junior,Medium,5
62,3,Analyst,Mid,Low,4
63,2,Engineer,Senior,Medium,4
64,11,Analyst,Junior,Low,4
65,13,Analyst,Mid,High,4
66,14,Analyst,Mid,High,5
67,6,Engineer,Senior,Medium,4
