Incident_ID,Date_ID,Region_ID,Crime_Type,Severity,Resolved_Flag
1,20210715,3,Cybercrime,Low,0
2,20221206,4,Cybercrime,Low,1
3,20210228,7,Assault,Medium,0
4,20250727,2,Robbery,High,1
5,20250322,3,Assault,Low,1
6,20210415,5,Cybercrime,Medium,0
7,20220422,3,Assault,High,1
8,20220424,1,Cybercrime,Low,0
9,20250904,4,Robbery,Medium,1
10,20210528,1,Robbery,High,1
11,20251012,1,Robbery,Medium,1
12,20221130,3,Assault,High,1
13,20240618,1,Assault,High,1
14,20250220,3,Robbery,Low,1
15,20230711,7,Assault,Low,1
16,20210408,2,Assault,Low,1
17,20230705,1,Robbery,Low,1
18,20241206,3,Assault,Medium,1
19,20241213,2,Robbery,High,1
20,20220418,1,Robbery,High,1
21,20250419,2,Cybercrime,Low,1
22,20250210,4,Assault,Medium,1
23,20250102,3,Assault,High,1
24,20231101,3,Robbery,High,1
25,20230103,1,Cybercrime,Medium,1
26,20220417,7,Robbery,High,1
27,20250730,1,Cybercrime,Medium,0
28,20230612,1,Cybercrime,Medium,0
29,20210127,4,Assault,Medium,0
30,20240315,3,Cybercrime,High,1
31,20221228,1,Robbery,High,0
32,20210225,1,Assault,Medium,1
33,20230218,1,Cybercrime,High,0
34,20241010,3,Cybercrime,Low,1
35,20231126,6,Cybercrime,Low,0
36,20210421,6,Cybercrime,Low,0
37,20240504,7,Assault,Low,1
38,20250228,1,Assault,Low,0
39,20210629,1,Robbery,Medium,1
40,20231106,1,Robbery,High,0
41,20211212,6,Robbery,Low,1
42,20221218,5,Robbery,Medium,1
43,20230711,1,Robbery,High,1
44,20220329,1,Cybercrime,Low,0
45,20220629,2,Assault,Low,1
46,20220326,1,Robbery,Low,1
47,20210707,7,Assault,High,1
48,20240524,3,Robbery,High,1
49,20231115,1,Cybercrime,Medium,0
50,20210306,2,Assault,Low,1
51,20240702,1,Robbery,High,1
52,20211016,7,Robbery,High,1
53,20230104,3,Robbery,Low,1
54,20210923,5,Robbery,Low,0
55,20240302,1,Robbery,Medium,1
56,20240903,1,Robbery,High,1
57,20240531,1,Cybercrime,High,0
58,20220614,6,Cybercrime,High,1
59,20220228,1,Cybercrime,Low,1
60,20210504,7,Cybercrime,High,1
61,20210315,1,Assault,Medium,0
62,20250410,4,Assault,High,1
63,20231226,5,Robbery,High,1
64,20210116,5,Robbery,Low,1
65,20210127,1,Cybercrime,Low,1
66,20250712,5,Robbery,High,1
67,20241115,1,Assault,Medium,1
68,20250411,4,Assault,High,1
69,20210818,6,Robbery,Medium,1
70,20240507,6,Robbery,High,1
71,20250618,4,Assault,High,0
72,20220510,5,Assault,Medium,1
73,20240819,6,Cybercrime,High,0
74,20221225,5,Cybercrime,Medium,0
75,20230509,2,Assault,Medium,1
76,20241003,1,Cybercrime,High,1
77,20230816,4,Robbery,Medium,1
78,20251205,7,Cybercrime,Low,1
79,20221109,6,Assault,Medium,1
80,20250129,1,Cybercrime,Low,1
81,20240709,5,Robbery,Medium,1
82,20210604,1,Robbery,Low,0
83,20230825,7,Cybercrime,Low,1
84,20210214,4,Assault,High,1
85,20250916,6,Cybercrime,Medium,0
86,20241002,1,Assault,High,1
87,20250820,2,Assault,Low,1
88,20231217,4,Assault,Low,0
89,20250617,2,Robbery,Medium,1
90,20250220,1,Assault,High,0
91,20221101,6,Assault,High,0
92,20240226,1,Cybercrime,Low,1
93,20241211,1,Robbery,High,1
94,20231022,2,Assault,Medium,1
95,20221215,1,Cybercrime,Medium,0
