Transaction_ID,Date_ID,Department_ID,Revenue,Cost,Profit
1,20250307,4,21631,12381,9250
2,20230110,2,23261,19709,3552
3,20230816,12,5796,13863,-8067
4,20241006,9,9074,7267,1807
5,20251116,6,14833,19698,-4865
6,20240920,10,34295,13380,20915
7,20220202,4,20499,23911,-3412
8,20240911,9,6229,5400,829
9,20221009,3,17579,15177,2402
10,20230331,11,10752,25076,-14324
11,20211031,14,41002,18355,22647
12,20240923,12,34624,16497,18127
13,20250820,3,39165,25684,13481
14,20221217,15,41502,12480,29022
15,20231113,8,22411,13618,8793
16,20230115,15,43835,9790,34045
17,20230515,5,32283,18070,14213
18,20230701,12,8876,28690,-19814
19,20231201,2,13354,29798,-16444
20,20211014,9,7658,13180,-5522
21,20230330,8,18658,6985,11673
22,20240809,5,27507,21792,5715
23,20230123,14,8394,13676,-5282
24,20240403,12,9276,25069,-15793
25,20240215,6,32615,7582,25033
26,20220110,6,43704,16801,26903
27,20210116,1,47390,6545,40845
28,20240124,3,29799,10798,19001
29,20220201,10,5635,5986,-351
30,20250115,12,46290,10926,35364
31,20230205,5,8417,19719,-11302
32,20240212,14,37477,2100,35377
33,20230724,8,29817,13679,16138
34,20230125,1,38160,2818,35342
35,20211113,2,46596,5804,40792
36,20231207,3,49436,5234,44202
37,20211223,12,6313,24516,-18203
38,20211008,3,41867,10730,31137
39,20251009,15,33938,17256,16682
40,20240115,9,32098,3119,28979
41,20250910,1,46052,14043,32009
42,20220320,9,32942,12688,20254
43,20250417,11,46721,12405,34316
44,20250401,15,28936,15465,13471
45,20220924,6,36717,29051,7666
46,20220912,14,14773,12967,1806
47,20240116,11,11526,7076,4450
48,20240319,5,41516,20550,20966
49,20250411,14,17967,13088,4879
50,20211023,13,48158,23759,24399
51,20250611,3,48949,12867,36082
52,20251121,6,15805,24574,-8769
53,20220719,15,41629,26565,15064
54,20240923,6,12344,5034,7310
55,20211005,9,33816,21275,12541
56,20250307,8,29045,27903,1142
57,20240104,5,9156,2404,6752
58,20250208,11,37825,18625,19200
59,20251010,12,36245,10998,25247
60,20250316,7,20714,6029,14685
61,20231010,4,19682,3255,16427
62,20250321,2,14748,7009,7739
63,20220405,11,49108,24042,25066
64,20220629,1,19767,16901,2866
65,20210618,13,17440,19353,-1913
66,20231121,7,46875,2076,44799
67,20211030,13,5730,14791,-9061
68,20211127,8,32062,2601,29461
69,20210127,12,48602,29042,19560
70,20251019,10,19876,25540,-5664
71,20220308,5,33186,11789,21397
72,20221210,12,7031,25034,-18003
73,20241219,14,27428,4038,23390
74,20231211,3,6045,5636,409
75,20211229,8,6049,17706,-11657
76,20230405,15,10376,9790,586
