Record_ID,Employee_ID,Date_ID,Attrition_Flag,Performance_Score,Training_Hours
1,41,20210511,1,1,37
2,492,20210529,0,3,11
3,112,20241010,0,3,0
4,278,20231101,0,1,7
5,150,20230708,0,3,6
6,93,20211023,1,4,2
7,279,20220726,0,3,25
8,169,20220522,0,2,30
9,291,20251107,0,5,9
10,409,20240905,0,1,0
11,4,20240828,0,1,8
12,13,20240816,1,1,25
13,172,20240227,0,1,25
14,73,20220808,0,2,33
15,63,20241030,0,1,37
16,292,20230924,1,2,36
17,196,20231221,0,5,16
18,4,20210810,0,2,1
19,382,20210430,0,4,13
20,212,20241230,0,2,34
21,54,20210916,0,1,8
22,497,20221130,0,3,23
23,190,20210501,1,4,36
24,313,20220330,0,3,20
25,287,20210327,0,5,25
26,411,20230520,1,1,14
27,293,20210316,0,4,37
28,233,20210716,1,1,31
29,262,20230819,0,3,19
30,413,20210724,0,4,10
31,359,20220706,0,2,23
32,203,20211117,0,2,30
33,260,20221013,0,4,22
34,363,20230902,1,4,15
35,65,20241223,0,3,26
36,487,20210220,0,2,14
37,34,20250819,0,2,2
38,221,20240811,0,2,2
39,390,20241001,0,2,25
40,453,20230822,0,3,19
41,76,20210205,0,3,36
42,492,20230909,0,2,19
43,219,20240902,0,1,0
44,346,20250308,0,5,12
45,118,20211025,1,3,26
46,403,20210113,0,2,38
47,61,20220224,0,5,9
48,24,20241006,0,3,35
49,161,20230801,0,1,22
50,150,20240430,0,2,34
51,437,20211208,0,4,16
52,364,20240323,0,1,25
53,421,20250421,1,1,4
54,312,20250511,0,1,11
55,167,20230916,0,3,0
56,68,20220219,1,2,24
57,302,20250912,0,1,10
58,176,20220429,0,2,38
59,42,20230730,0,1,12
60,225,20211006,0,4,6
61,328,20211019,0,1,32
62,79,20230109,0,1,18
63,344,20230911,0,5,30
64,158,20220109,0,4,16
65,428,20251216,0,3,23
66,32,20220424,0,4,5
67,289,20250317,0,5,37
68,207,20211020,0,1,10
69,160,20251227,0,5,34
70,72,20220701,0,2,8
71,368,20250327,0,1,22
72,204,20210219,0,3,29
73,369,20220713,0,5,39
74,495,20230110,1,3,26
75,79,20250804,0,3,37
76,495,20230629,0,5,29
77,292,20220920,0,1,3
78,224,20230926,0,4,1
79,293,20210716,0,4,21
80,357,20220108,0,3,26
81,116,20221015,0,1,0
82,493,20220416,1,5,12
83,317,20240924,1,1,1
84,330,20231021,0,5,26
85,178,20250202,0,5,10
86,234,20240211,1,4,0
87,465,20240625,0,4,16
88,47,20230403,0,2,21
89,73,20251012,0,5,21
90,216,20251115,0,3,39
91,245,20210814,0,2,33
92,452,20230214,0,3,22
93,121,20231116,0,5,28
94,335,20240712,0,3,19
95,376,20220701,1,3,1
96,245,20240324,0,2,29
97,159,20211203,0,1,13
98,158,20250210,1,1,14
99,160,20250412,0,4,32
100,272,20240520,0,5,22
101,100,20250128,0,1,14
102,28,20240914,0,5,8
103,464,20250705,0,4,16
104,267,20230820,0,3,27
105,41,20220401,0,1,33
106,382,20220901,0,3,35
107,234,20250206,1,5,1
108,60,20210505,0,3,16
109,170,20230713,0,5,39
110,292,20220219,0,3,10
111,492,20230719,0,3,17
112,415,20240908,0,1,21
113,152,20230528,0,2,23
114,243,20230831,0,4,9
115,435,20230716,0,3,7
116,277,20230825,0,4,37
117,221,20220410,0,1,33
118,281,20250712,0,2,19
119,356,20250220,0,5,31
120,210,20230712,0,2,11
121,368,20250110,0,1,20
122,386,20220612,0,5,34
123,55,20241227,0,5,8
124,439,20210618,0,1,11
125,128,20221108,0,2,28
126,333,20241010,0,3,1
127,366,20250608,0,1,18
128,398,20220709,0,5,14
129,329,20230930,0,3,18
130,56,20241127,0,4,35
131,199,20231004,0,3,0
132,239,20210208,0,4,15
133,117,20240612,0,1,9
134,119,20230915,1,5,27
135,246,20241228,0,2,7
136,1,20230813,0,5,21
137,223,20250323,0,3,9
138,88,20220806,0,1,25
139,454,20210929,0,4,26
140,256,20211129,0,1,22
141,407,20240205,0,3,6
142,67,20250511,0,2,38
143,166,20210804,0,2,27
144,231,20241219,0,4,15
145,192,20240413,0,1,29
146,103,20220516,0,4,21
147,242,20230118,0,1,7
148,199,20210402,0,3,4
149,36,20210714,0,3,8
150,496,20251110,0,5,30
151,239,20211231,0,3,22
152,435,20250708,0,4,35
153,3,20220404,0,3,1
154,336,20211116,0,3,22
155,112,20230530,0,2,22
156,453,20210502,1,3,6
157,114,20210803,0,5,5
158,170,20210605,0,5,27
159,184,20220810,0,2,2
160,107,20250310,0,3,38
161,228,20210319,0,5,20
162,286,20231206,0,5,33
163,261,20240202,0,1,13
164,128,20210816,0,5,28
165,474,20231109,1,2,4
166,289,20211107,0,4,26
167,451,20241030,0,5,14
168,17,20231114,0,1,21
169,136,20220106,0,1,10
170,358,20220704,0,4,34
171,253,20210820,0,2,14
172,320,20210826,0,4,17
173,104,20231122,0,3,31
174,408,20240825,0,5,26
175,333,20210425,0,2,18
176,157,20211122,1,4,14
177,180,20250822,0,3,24
178,236,20230212,0,4,32
179,230,20230505,0,2,13
180,299,20251002,0,1,15
181,248,20240912,0,1,30
182,250,20240710,0,1,33
183,321,20230709,0,5,27
184,438,20240321,0,3,35
185,151,20240527,0,2,20
186,297,20211214,0,2,13
187,284,20211015,0,4,13
188,40,20210105,1,5,6
189,120,20250430,0,3,8
190,188,20241103,1,1,25
191,181,20220415,0,2,4
192,231,20211201,0,2,19
193,157,20210113,0,1,20
194,438,20250128,0,2,15
195,87,20221117,0,5,7
196,173,20230810,0,4,12
197,454,20211104,0,3,7
198,348,20240229,0,5,38
199,19,20211007,0,1,0
200,317,20250715,0,1,28
201,247,20250119,0,1,5
202,248,20210127,0,5,37
203,83,20230902,0,2,15
204,45,20210124,0,1,22
205,434,20240509,0,5,6
206,422,20231124,0,1,28
207,390,20230204,0,4,8
208,427,20210203,1,1,26
209,162,20250212,0,3,25
210,30,20220527,0,5,29
211,334,20230313,0,4,3
212,197,20250320,0,5,8
213,41,20230502,0,4,19
214,68,20220628,1,2,34
215,396,20220309,0,2,34
216,370,20251229,0,4,16
217,239,20231124,0,3,5
218,271,20230823,0,4,15
219,472,20221027,0,2,7
220,474,20230109,0,2,2
221,146,20251130,0,2,32
222,379,20211203,0,4,10
223,413,20250904,0,1,16
224,375,20210927,0,3,14
225,382,20210704,0,5,9
226,56,20220115,0,2,7
227,241,20230829,0,5,17
228,286,20221110,0,5,30
