Campaign_ID,Date_ID,Channel,Spend,Impressions,Clicks,Conversions
1,20240910,Digital,47645,423479,5123,306
2,20220721,TV,12933,343617,2336,307
3,20220505,Social,26025,244039,3293,537
4,20230617,Digital,39858,432434,16769,1861
5,20230512,Events,12601,175452,14538,1300
6,20230606,Digital,24974,460850,19869,2899
7,20230930,TV,17227,307906,1648,301
8,20211112,Social,28758,36602,8967,603
9,20230827,TV,36219,352361,5246,268
10,20210131,TV,32274,211162,12685,2135
11,20250705,Digital,37998,63216,19016,3539
12,20250227,Social,15092,160378,18630,2031
13,20230826,Events,31609,477715,18777,2888
14,20250502,TV,34741,245194,14315,2656
15,20250224,TV,14474,53533,18147,1003
16,20250630,TV,38610,305111,14036,1507
17,20220318,Digital,29324,183320,5635,754
18,20211106,TV,34840,215524,9056,1088
19,20220227,TV,19629,392886,11969,2004
20,20240120,TV,35034,98717,12179,2341
21,20240813,TV,19701,289298,3795,517
22,20220227,Events,24875,35925,2869,385
23,20251119,TV,7722,159761,6127,310
24,20250515,Social,9129,264335,4906,882
25,20210512,Digital,37725,482834,10072,1343
26,20240925,Digital,37142,21531,15769,2678
27,20210617,Events,40857,374202,8762,1263
28,20210424,TV,29852,245112,11079,2034
29,20240927,Events,23119,36300,16283,1372
30,20220108,Social,47885,158381,12648,2376
31,20210304,TV,28794,26936,19503,2820
32,20230730,Social,42221,332350,10262,1674
33,20250114,Digital,32629,360713,2407,249
34,20251207,Events,32121,73432,5528,872
35,20231027,Events,21741,83817,17308,2527
36,20210114,Social,39502,32781,6398,939
37,20210723,Social,31580,269159,1060,54
38,20220120,Events,9392,139074,15800,1343
39,20230108,TV,44447,368525,5537,355
40,20251012,Social,10836,103702,15938,2487
41,20250209,Social,37864,161683,4539,482
42,20230615,Social,49537,234795,2645,303
43,20231229,TV,42273,184211,14168,2201
44,20220602,Social,10299,291447,1961,277
45,20240714,TV,7623,296189,6721,974
46,20220719,Events,45040,132919,6951,1199
47,20251022,TV,41851,181083,11644,1650
48,20230822,Digital,33677,59640,5125,743
49,20241009,Social,28447,45531,10097,1844
50,20220810,Social,16580,142300,5562,520
51,20240601,Events,28393,408853,10612,2109
52,20240820,Digital,12400,142029,11289,1283
53,20220911,Digital,49064,366180,9436,474
54,20220618,Social,38013,101386,13554,2137
55,20221230,Digital,12337,486389,17423,3030
56,20221012,Digital,11970,310092,5178,790
57,20240301,Digital,40579,202747,6357,409
58,20211228,Social,14487,142196,19767,2887
59,20231128,TV,6471,448820,3226,618
60,20230722,Events,42451,255925,5461,725
61,20250803,Social,28533,357616,19031,1027
62,20220223,Events,12610,71513,3911,225
63,20250911,Social,19576,299035,9534,1377
64,20240510,Digital,9671,23914,14580,2108
65,20210328,Events,36176,282001,19738,1804
66,20220817,TV,25868,40709,8185,1214
67,20251015,Events,44343,56378,4164,796
68,20221201,Digital,24605,385605,15181,2537
69,20220123,Digital,35705,224825,17281,2820
70,20210830,Events,13293,496190,2629,276
71,20240228,Digital,17641,308473,12331,1811
72,20221029,Digital,36449,124341,7236,590
73,20210622,Digital,19254,263657,14572,2379
74,20230515,Social,46254,40472,5223,862
75,20210516,Social,45029,420701,9001,573
76,20221217,Events,41114,312953,7615,495
77,20230101,Events,28327,141786,15514,1786
78,20240731,TV,9165,181688,9634,949
79,20241017,Events,23278,77804,15525,2861
80,20250830,Digital,32072,24545,5370,741
81,20240827,Social,31451,120589,13992,1188
