Operation_ID,Date_ID,Region_ID,Department_ID,Operational_Cost,Delay_Time,Efficiency_Score
1,20210123,2,13,22035,15,92
2,20241127,7,6,11337,1,93
3,20250926,3,6,3474,10,78
4,20230103,2,14,20844,31,93
5,20250124,6,7,4250,5,81
6,20240404,3,1,18205,3,86
7,20240129,2,7,10827,0,63
8,20220419,7,12,8010,24,98
9,20211210,5,6,21819,32,76
10,20210817,6,1,5911,14,61
11,20220226,6,7,11124,5,79
12,20210720,6,1,21670,29,96
13,20240401,2,11,17490,17,63
14,20230219,3,6,15057,13,69
15,20250824,7,14,15305,29,95
16,20250124,1,13,16604,0,96
17,20251027,4,4,7686,29,94
18,20250821,2,7,24967,10,79
19,20220203,4,14,23148,25,71
20,20210601,7,11,11797,23,79
21,20211208,4,6,14884,31,84
22,20220609,5,8,20045,32,67
23,20210815,6,6,6379,0,88
24,20250805,2,8,19775,34,61
25,20241201,4,3,10528,12,83
26,20210204,6,13,23892,40,84
27,20251126,7,8,4012,2,84
28,20221130,1,13,4375,38,71
29,20240711,6,8,15475,25,77
30,20210126,5,10,22537,28,92
31,20210919,1,11,23990,1,72
32,20251201,1,6,3953,14,65
33,20230104,2,15,22576,1,79
34,20240124,2,6,7560,47,88
35,20250201,4,13,14701,20,98
36,20210221,5,10,18554,5,93
37,20220714,3,5,18020,39,97
38,20221229,4,6,24847,44,74
39,20240222,4,8,11174,7,63
40,20240113,2,13,11087,25,81
41,20221030,1,7,14549,10,90
42,20240403,6,7,13862,22,97
43,20210404,2,8,6051,16,79
44,20220921,7,12,13590,38,74
45,20240527,2,1,11852,32,98
46,20211031,3,6,9850,45,77
47,20220325,1,13,8206,30,61
48,20220905,5,2,17877,10,89
49,20211125,7,15,16115,2,93
50,20230629,6,10,15176,46,94
51,20240213,5,3,5210,18,94
52,20220513,4,12,5175,24,87
53,20240122,6,13,13141,10,85
54,20210823,6,12,21606,32,93
55,20230910,2,14,2101,16,99
56,20230818,2,13,22688,27,83
57,20221204,2,5,14203,26,98
58,20241010,4,4,22156,25,92
59,20210707,2,13,8906,40,76
60,20220915,2,6,13311,8,78
61,20230410,2,10,21451,6,97
62,20210331,2,10,17906,46,80
63,20250305,4,2,24435,5,69
64,20220318,3,4,19712,47,71
65,20220629,1,11,22140,35,95
66,20231223,2,12,4532,36,93
67,20230331,6,10,17817,44,66
68,20211104,6,3,15979,7,65
