Sales_ID,Date_ID,Product_ID,Client_ID,Revenue,Units_Sold,Discount
1,20230508,6,3,3271,91,1
2,20210126,6,2,13409,28,13
3,20231130,2,1,13115,12,10
4,20251027,4,2,11774,20,3
5,20250921,5,3,2478,84,21
6,20230907,5,4,10755,12,8
7,20210606,5,1,8276,49,14
8,20241107,5,5,18207,67,15
9,20240714,1,4,12937,8,10
10,20221226,1,4,16944,79,3
11,20230118,4,4,15040,63,10
12,20240516,1,4,3973,23,11
13,20230501,4,3,19451,16,9
14,20210119,5,3,17095,48,4
15,20241218,2,5,19298,42,12
16,20220914,5,1,19469,53,19
17,20240801,1,1,13570,67,7
18,20230611,2,2,15026,54,6
19,20220104,6,4,3887,1,22
20,20250511,2,3,18213,34,14
21,20220314,1,1,6057,8,1
22,20240320,6,3,12948,75,19
23,20231124,1,3,10805,82,24
24,20250319,4,4,15867,18,9
25,20211211,4,2,3657,7,10
26,20251123,2,4,18057,98,16
27,20231212,3,1,12027,94,6
28,20221113,6,1,11778,45,11
29,20210410,5,1,14535,6,22
30,20240312,1,1,18834,54,8
31,20230222,2,1,9266,96,6
32,20220204,6,1,2562,44,10
33,20250206,5,4,4174,34,1
34,20251203,2,4,17844,68,16
35,20250214,2,4,7871,97,5
36,20210314,4,1,16198,80,8
37,20250808,1,3,4867,22,16
38,20240131,4,5,5215,21,20
39,20211101,5,5,7901,25,13
40,20250508,4,1,5597,54,7
41,20251121,2,5,2072,90,2
42,20251105,4,1,15206,45,21
43,20250122,2,3,10884,54,24
44,20250201,4,1,10837,35,7
45,20210727,4,4,13735,44,4
46,20230903,2,4,14537,14,17
47,20240909,3,4,4777,49,19
48,20250705,4,1,8402,51,11
49,20241011,5,2,6980,5,17
50,20241220,4,3,11351,51,20
51,20211019,4,4,11674,52,3
52,20250524,2,1,6725,32,24
53,20240908,5,1,7222,93,4
54,20250808,4,1,14093,30,4
55,20241224,5,4,5214,65,2
56,20231021,2,3,19151,77,2
57,20230807,3,5,18888,37,8
58,20250719,1,4,2161,77,3
59,20250107,6,2,11409,37,11
60,20210110,5,4,14113,56,2
61,20230828,6,4,14729,69,4
62,20240729,3,1,13778,7,2
63,20211107,5,1,7646,4,13
64,20211216,5,1,18289,75,5
65,20251014,4,1,14927,74,11
66,20250906,5,1,14425,62,2
67,20210113,6,2,5313,50,3
68,20230522,4,1,2202,59,19
69,20250501,1,1,2810,2,3
70,20210116,5,3,3574,52,17
71,20250119,2,5,6176,27,10
72,20220503,3,1,14767,74,2
73,20220620,2,3,14496,83,7
74,20230115,6,2,1236,56,11
75,20240611,6,1,3520,72,15
76,20220727,1,3,16659,50,5
77,20240121,6,1,17962,31,23
78,20241104,3,1,7886,10,19
79,20221121,1,1,12860,18,13
80,20220630,2,2,4485,50,5
81,20210612,1,5,15591,65,0
82,20230818,5,1,5372,23,21
83,20240125,1,4,19539,52,23
84,20230621,3,5,16349,70,8
85,20210923,2,1,15185,52,1
86,20220426,6,3,16618,89,17
87,20230411,5,5,1124,17,3
88,20211205,5,2,19914,33,13
89,20220130,4,2,12145,46,14
90,20230319,5,1,17165,32,19
