Shipment_ID,Date_ID,Region_ID,Delivery_Time,Delay_Flag,Shipment_Cost
1,20250127,3,13,0,17049
2,20250816,2,9,1,16830
3,20250830,6,14,0,12934
4,20231216,2,5,0,7749
5,20210201,5,6,0,4721
6,20250225,7,4,0,11413
7,20240422,1,8,0,9113
8,20210313,3,9,1,7906
9,20240517,2,12,0,19843
10,20240403,5,14,0,6694
11,20231001,4,2,1,10404
12,20250703,5,9,0,17334
13,20250719,7,10,0,8461
14,20240813,6,8,0,1830
15,20231012,3,5,1,6311
16,20220125,5,6,0,7860
17,20230214,4,13,0,2922
18,20211024,2,1,0,2082
19,20230414,2,5,0,11200
20,20231021,4,8,0,12560
21,20220603,3,2,0,7292
22,20240121,3,6,0,1242
23,20221009,7,1,0,2939
24,20210725,2,12,0,9377
25,20210401,5,1,1,913
26,20250507,6,5,0,8233
27,20211224,2,10,0,13535
28,20241226,7,6,0,18783
29,20231114,5,5,0,18763
30,20240114,2,6,0,17391
31,20250103,3,6,1,14096
32,20250225,2,2,0,17672
33,20250718,4,8,0,6133
34,20241201,5,7,0,13878
35,20250403,3,1,0,8563
36,20250523,7,9,0,18368
37,20250519,3,11,0,17665
38,20241014,6,13,0,19711
39,20250719,5,2,0,18645
40,20230812,2,11,0,3482
41,20210628,6,7,1,4752
42,20210507,1,8,1,3695
43,20220420,5,1,1,18687
44,20211103,4,2,0,2818
45,20251226,7,1,0,6569
46,20220712,4,13,1,1829
47,20220604,1,10,0,8901
48,20220401,2,7,0,13325
49,20220521,2,13,1,1707
50,20210505,2,5,0,18376
51,20240710,2,13,1,11208
52,20240331,3,9,0,13035
53,20231003,4,2,0,19432
54,20211023,7,5,0,15511
55,20241103,5,2,0,13387
56,20230530,7,3,0,16431
57,20251213,5,1,0,17640
58,20210321,2,7,1,16911
59,20240831,2,10,0,17857
60,20250610,1,11,0,9211
61,20230128,7,10,0,19039
62,20250810,2,14,0,17753
63,20220504,4,1,0,12119
64,20221125,7,11,0,7607
65,20220807,4,12,1,8603
66,20251008,4,7,0,1647
67,20241223,4,2,0,2892
68,20240315,1,14,0,10111
69,20240119,3,2,0,14382
70,20250330,2,9,1,19902
71,20220319,1,2,0,3178
72,20220115,1,8,0,12860
73,20210926,4,9,0,7497
74,20210201,3,13,1,8189
75,20230831,4,2,0,9883
76,20241214,2,12,0,14615
77,20230102,5,1,0,18067
78,20230411,5,3,0,12311
79,20231128,7,7,0,17065
80,20221121,5,6,0,12542
81,20250329,5,6,0,1118
82,20250119,2,8,0,7083
83,20240603,4,8,0,2230
84,20210814,6,14,0,2735
85,20251001,5,12,0,4514
86,20230421,5,13,0,3304
87,20230405,2,7,0,14063
88,20211019,5,7,1,5517
89,20230926,4,3,0,11555
90,20250410,4,12,0,7359
91,20250814,7,6,0,15720
92,20210809,4,5,0,2822
93,20241218,1,8,1,12268
94,20241123,4,1,0,1386
95,20210711,4,1,0,10700
96,20250719,2,9,0,17223
97,20250902,7,3,0,18016
98,20230227,2,8,0,18126
99,20211020,5,3,1,15898
100,20210910,5,14,1,18010
101,20221129,1,7,0,15521
102,20230627,2,1,0,3152
103,20230722,7,8,0,1283
104,20210909,7,11,0,11749
105,20230516,4,11,0,5880
106,20240908,4,4,0,10977
107,20230808,2,14,0,4758
108,20210529,4,13,0,1215
109,20241105,4,14,0,14477
110,20220904,3,2,0,13733
111,20230422,7,3,0,13672
112,20230311,5,11,1,6610
113,20220912,1,5,1,7421
114,20210322,2,9,1,10654
115,20210309,3,14,1,11662
116,20251110,3,13,0,15417
117,20220920,2,11,0,19561
118,20220419,6,4,0,5204
119,20240330,3,8,0,2777
120,20240220,7,14,0,19851
121,20250330,4,6,0,6043
122,20231128,5,6,1,14717
123,20240719,3,11,1,12361
124,20250814,2,13,1,17826
125,20250705,5,4,0,19242
126,20221021,2,8,0,3041
127,20230814,2,4,0,6721
128,20220830,3,11,1,11035
129,20250919,1,3,0,2661
130,20251103,6,8,0,4572
131,20251209,4,3,0,6339
132,20230101,6,4,0,4514
133,20240408,2,12,0,10784
134,20240218,6,6,0,15299
135,20221201,1,7,0,13950
136,20250118,2,13,0,7668
137,20240526,1,7,0,1470
138,20250928,4,8,0,4507
139,20250831,4,13,1,19150
140,20211011,7,12,0,10812
141,20220805,5,4,1,16137
142,20231209,4,6,0,2694
143,20210505,2,10,0,14886
144,20230728,3,7,1,8597
145,20220513,4,1,0,12437
146,20250920,3,7,0,13625
147,20210105,6,9,0,9959
148,20241117,1,1,0,18132
149,20230315,7,8,0,6111
150,20240205,3,8,0,12363
151,20240619,3,8,0,8787
152,20250401,4,6,0,6416
153,20220613,5,13,1,15100
154,20220618,1,3,0,11317
155,20210624,4,5,0,19050
156,20231013,7,8,0,19545
157,20240910,1,3,0,11337
158,20221220,6,9,0,17992
159,20210508,4,8,0,1646
160,20241002,5,6,0,14719
161,20220101,2,1,0,5013
162,20221221,7,9,0,5590
163,20240805,3,9,1,18280
164,20240226,4,14,1,12281
165,20210309,4,10,0,6798
166,20210725,7,12,0,19372
167,20230417,2,11,0,4654
168,20220211,5,14,0,10465
169,20211229,6,6,0,7013
170,20221229,7,1,0,11884
171,20231008,1,11,0,16414
172,20240120,1,10,0,12674
173,20230913,3,13,1,11306
174,20241025,1,11,1,12543
175,20241105,4,11,0,2262
176,20251205,4,2,0,17080
177,20250305,2,12,0,7186
178,20230810,7,5,1,9022
179,20220315,3,9,1,12264
180,20211125,6,11,0,6211
181,20241025,6,9,0,10822
182,20220701,3,5,0,7185
183,20221220,6,4,1,7516
184,20211229,4,11,0,7603
185,20210811,2,11,0,11294
186,20240913,3,2,0,19832
187,20220803,4,10,0,11201
188,20220424,3,1,1,18195
189,20210614,2,13,1,1587
190,20230912,7,7,1,2922
191,20251125,1,13,0,10069
192,20221127,3,12,1,4779
193,20240730,1,6,0,9348
194,20230707,6,13,1,9026
195,20230916,7,5,0,5371
196,20241122,2,1,1,10743
197,20220602,4,9,1,18234
198,20221218,6,6,0,1106
199,20210610,2,11,0,17252
200,20250418,1,6,0,6710
201,20220901,5,11,1,13590
202,20210423,5,1,1,8751
203,20210226,6,3,1,18378
204,20250416,7,11,0,7450
205,20230330,2,4,0,8226
206,20240418,2,5,1,9508
207,20210216,3,8,1,8722
208,20251011,1,2,0,10514
209,20210220,7,2,0,1829
210,20220305,1,6,0,3106
211,20230816,7,7,0,2305
212,20210616,5,3,1,5463
213,20220415,1,4,0,4674
214,20230812,1,12,0,8026
215,20230218,1,14,0,7299
216,20220905,6,14,1,19597
217,20230822,3,13,1,4766
218,20210222,6,7,0,11367
219,20211117,1,9,0,1231
220,20251014,5,8,0,7757
221,20230607,1,14,0,17746
222,20221107,4,3,0,8959
223,20210918,6,12,0,9964
224,20230117,6,14,0,11311
225,20220525,7,9,0,12117
226,20241221,2,10,0,11757
227,20220504,1,3,0,12999
228,20220222,7,13,0,14410
229,20251029,4,8,0,18676
230,20250811,6,2,0,14460
231,20210915,4,3,1,11012
232,20240208,6,3,0,15919
233,20240606,4,6,1,3168
234,20211011,2,4,0,7030
235,20210507,6,12,0,12618
236,20221114,7,14,0,4189
237,20230829,4,6,1,10448
238,20240204,7,6,1,9658
239,20250118,3,1,1,9289
240,20210516,3,3,0,17465
241,20241019,4,4,0,10008
242,20240328,5,1,1,17032
243,20250530,7,6,0,19583
244,20250821,2,1,1,19818
245,20250204,3,3,0,5740
246,20251114,6,5,0,13199
247,20211115,7,13,0,16503
248,20220829,7,5,0,4289
249,20221226,7,12,0,8618
250,20211223,3,14,0,3802
251,20210419,1,1,0,1378
252,20230916,7,9,0,17185
253,20240716,1,9,0,4678
254,20250310,6,10,0,13987
255,20241106,7,8,0,5868
256,20240910,4,10,1,17069
257,20250112,4,9,0,14277
258,20250204,6,11,0,1309
259,20211028,1,4,1,13422
260,20251203,6,13,0,17493
261,20250327,4,10,0,8623
262,20250928,1,11,0,1522
263,20210126,2,7,1,19854
264,20241117,7,5,0,4479
265,20220815,7,14,0,12102
266,20241230,1,6,0,1389
267,20230802,6,10,0,2372
268,20241005,7,4,0,13182
269,20230605,4,11,0,13932
270,20251203,1,14,0,6272
271,20220907,3,11,0,14038
272,20220918,4,5,0,3852
273,20241002,6,12,0,12381
274,20251103,6,2,1,14373
275,20230731,7,14,0,11292
276,20220112,7,3,0,15289
277,20210615,2,13,1,1183
278,20251113,7,13,0,16143
279,20210825,1,11,0,6420
280,20250729,6,5,0,15548
281,20210711,2,3,0,17856
282,20230907,3,8,0,15360
283,20250507,7,6,0,2781
284,20210808,1,7,0,18964
285,20241208,3,3,0,3855
286,20251009,7,10,1,10134
287,20230301,5,1,0,657
288,20250122,1,4,1,12578
289,20230616,5,7,0,16786
290,20210504,7,2,0,11388
291,20240831,1,7,0,11129
292,20220214,1,7,0,6656
293,20220729,4,7,0,8567
294,20220120,3,11,0,19267
295,20220730,7,4,0,12863
296,20250616,7,10,0,8073
297,20231127,2,3,0,16076
298,20211124,3,2,0,2997
299,20231222,4,4,1,3481
300,20230911,6,14,0,12556
301,20240303,1,11,0,19851
302,20210922,5,4,0,15432
303,20220219,7,12,0,18823
304,20230805,7,9,0,10665
305,20230109,5,10,1,15025
306,20250510,3,11,0,14496
307,20241025,1,13,0,1701
308,20221019,1,13,0,14524
309,20250404,5,4,0,3369
310,20240622,7,12,0,16149
311,20250313,3,14,0,19889
312,20220524,6,11,1,7032
313,20210312,3,6,0,2086
314,20221203,1,11,0,12557
315,20220520,2,13,0,1793
316,20240510,4,4,1,1104
317,20240606,3,9,0,2572
318,20231218,4,14,0,7741
319,20240308,3,1,0,14758
320,20240531,5,4,1,18803
321,20230131,3,13,1,3882
322,20250412,3,12,0,8544
323,20241011,2,4,0,6847
324,20230103,4,14,1,902
325,20241212,1,9,0,962
326,20231001,4,8,0,17046
327,20220228,2,7,0,7932
328,20210122,1,11,0,10314
329,20210307,7,8,0,8304
330,20210518,6,4,0,1380
331,20211225,7,4,0,7217
332,20250210,4,2,0,5688
333,20250817,5,12,0,17385
334,20240425,3,5,0,6213
335,20221011,7,4,1,1381
336,20221218,1,13,0,13207
337,20220224,2,14,1,12450
338,20251205,6,6,1,16375
339,20210602,6,7,1,1075
340,20250827,6,3,0,19772
341,20220629,6,12,1,13167
342,20250510,7,2,0,19195
343,20251022,6,11,0,13967
344,20250615,3,11,0,3273
345,20210925,4,7,0,4698
346,20231020,7,13,0,13865
347,20230911,7,8,0,8627
348,20221006,6,4,0,4981
349,20210429,4,5,0,15012
350,20250627,3,10,0,6801
351,20230315,7,9,0,15520
352,20250930,7,8,0,9039
353,20240306,5,10,1,687
354,20220726,4,8,0,15488
355,20250706,7,10,0,7676
356,20210319,7,5,0,4536
357,20231129,4,6,0,770
358,20220227,7,9,0,2849
359,20240807,4,14,1,12936
360,20210719,7,12,0,9716
361,20220510,1,7,0,12436
362,20240115,1,3,0,13331
363,20211226,6,8,0,5613
364,20250331,7,9,0,12632
365,20230511,7,10,0,6327
366,20220827,4,12,0,6370
367,20221211,2,10,0,8401
368,20250308,4,9,0,18227
369,20210814,1,1,1,13501
370,20221104,3,12,0,5367
371,20210114,4,12,1,12185
372,20230123,1,5,0,2942
373,20250410,3,12,1,8273
374,20251124,5,2,0,9901
375,20210507,3,10,1,13977
376,20231119,3,7,0,7782
377,20231130,6,14,0,15945
378,20231024,1,1,1,13913
379,20240124,3,7,0,13596
380,20210214,4,10,0,11216
381,20210812,2,8,0,6623
382,20241021,1,3,0,4383
383,20220607,2,10,0,5988
384,20250819,6,14,0,3716
385,20220304,2,14,0,3142
386,20230326,7,2,0,19095
387,20230503,2,4,0,8147
388,20250809,2,13,0,11849
389,20210411,6,11,1,3911
390,20230510,5,7,0,7474
391,20210404,5,7,0,15844
392,20251031,5,13,1,16747
393,20250605,6,1,0,18232
394,20250901,5,3,0,2468
395,20221117,4,13,0,743
396,20231108,3,14,0,1750
397,20230517,1,13,0,9437
398,20220926,2,5,1,11903
399,20230226,1,13,0,19247
400,20230318,3,9,0,12547
401,20230330,4,4,1,16741
402,20240314,4,12,1,3881
403,20211217,4,3,1,10373
404,20240728,6,9,0,12418
405,20220811,7,2,1,6333
406,20220202,7,3,1,8299
407,20230807,2,7,1,18000
408,20220403,5,5,0,1381
409,20250227,6,12,0,8602
410,20210315,2,1,0,14678
411,20250122,2,13,0,7903
412,20220902,2,7,0,1489
413,20210607,4,10,1,12978
414,20210801,2,1,0,2095
415,20210831,4,10,0,19513
416,20241217,3,10,0,13702
417,20221126,1,11,0,18200
418,20251225,2,3,0,8385
419,20231128,6,9,0,11131
420,20210207,3,2,1,15760
421,20250412,7,10,1,18036
422,20211006,7,9,0,2269
423,20210813,1,1,0,10398
424,20250218,5,8,0,6144
425,20230711,6,2,0,4816
426,20220214,3,14,0,14438
427,20221201,5,6,1,14282
428,20230518,6,6,0,14672
429,20210127,6,1,0,11611
430,20231105,2,2,0,9302
431,20221201,7,5,0,10718
432,20230715,5,2,0,12276
433,20240401,5,9,1,787
434,20210720,1,3,0,17245
435,20231004,1,7,1,8677
436,20231116,7,8,0,2608
437,20211013,2,10,0,5331
438,20211204,2,4,1,8914
439,20230621,5,9,0,7343
440,20230604,1,7,0,12649
441,20250909,2,9,0,17137
442,20240519,5,8,0,14361
443,20211209,7,12,0,11478
444,20220725,6,10,1,7411
445,20220205,3,8,0,16260
446,20210913,1,6,0,18479
447,20220716,7,6,0,9957
448,20230714,5,11,0,17096
449,20210118,7,1,0,16956
450,20250329,7,9,0,4547
451,20240906,6,7,0,10101
452,20210602,3,10,1,2971
453,20230506,7,12,0,17900
454,20230215,7,9,0,14536
455,20210501,2,3,0,13005
456,20251225,4,13,1,19232
457,20231116,7,5,1,14615
458,20230219,7,1,0,559
459,20211205,3,7,0,692
460,20230623,2,7,1,3958
461,20251122,3,7,0,949
462,20240326,1,10,1,19264
463,20230818,6,12,0,6187
464,20250614,3,2,0,19388
465,20230829,7,13,0,5608
466,20211113,1,5,1,8097
467,20220424,7,1,0,18433
468,20210408,7,10,0,16851
469,20210415,3,5,0,15624
470,20250524,2,7,0,16205
471,20210422,7,9,0,15156
472,20250604,6,4,0,16712
473,20250803,1,4,0,1371
474,20230519,6,1,0,16705
475,20240819,2,14,0,7591
476,20211119,2,4,0,5017
477,20220801,4,6,1,7777
478,20241025,7,12,1,4178
479,20250526,5,2,0,15634
480,20210110,7,1,0,6920
481,20251220,1,2,0,11971
482,20250325,2,1,0,18612
483,20210506,4,12,1,5955
484,20230911,7,5,0,19719
485,20220307,6,7,1,7540
486,20250412,4,9,0,2502
487,20221116,4,2,0,14286
488,20220910,7,6,0,8232
489,20230921,6,2,1,1937
490,20231108,4,4,1,18232
491,20250922,5,6,0,7272
492,20231115,3,4,0,2079
493,20210823,3,10,0,19059
494,20230519,7,11,0,18915
495,20241028,7,11,0,8054
496,20240814,2,10,0,2647
497,20230331,1,10,0,18172
498,20250706,5,7,0,985
499,20210720,7,5,0,3769
500,20220910,1,13,0,13011
501,20250227,7,6,0,5900
502,20220818,2,8,0,17474
503,20210517,2,2,0,11744
504,20250829,2,12,0,14536
505,20220611,4,9,0,6801
506,20240307,4,7,0,16964
507,20231003,6,4,1,11146
508,20220322,2,6,0,13881
509,20251203,5,6,0,8683
510,20220315,1,12,0,16676
511,20210128,3,5,0,824
512,20241222,4,5,0,5532
513,20241018,6,13,1,8805
514,20210218,5,5,0,19827
515,20240411,7,2,0,11485
516,20240313,6,4,1,723
517,20230411,3,5,0,7795
518,20220702,7,14,0,12816
519,20240415,7,4,1,16410
520,20241120,6,1,0,8354
521,20251026,1,1,1,8788
522,20210119,6,12,1,17444
